bench,tray,expect_layer,sorted_Elayer,actural_layer,plots,innoculator,jars,harvest_time,lines,reps,number
2,44,87,1,1,5911,4,10,2,43,12,12
2,48,96,2,1,6521,6,10,9,43,14,21
2,55,110,2,1,7437,6,15,5,43,17,15
2,58,115,1,2,7755,5,17,6,43,18,16
2,65,129,1,1,8758,3,19,2,43,19,9
1,1,1,1,1,63,1,1,1,44,1,8
1,23,45,1,1,3049,1,5,8,44,4,4
1,30,60,2,1,4058,5,7,5,44,7,1
1,32,63,1,2,4262,2,7,10,44,8,8
2,56,111,1,1,7495,6,16,6,44,13,22
2,64,128,2,2,8692,3,19,2,44,17,4
2,67,134,2,2,9090,3,21,6,44,18,3
2,69,138,2,1,9368,3,14,13,44,19,4
2,70,140,2,1,9518,3,22,3,44,20,4
1,6,12,2,1,768,1,1,3,45,3,3
1,7,14,2,1,901,1,2,1,45,4,1
1,20,39,1,2,2619,1,9,7,45,6,5
1,35,69,1,2,4674,4,7,10,45,9,13
2,45,89,1,1,6004,2,5,9,45,12,1
2,50,99,1,2,6686,6,12,6,45,14,6
1,1,2,2,1,103,1,1,1,46,1,7
1,21,42,2,2,2844,1,9,7,46,4,7
1,23,45,1,1,3035,1,5,8,46,5,4
1,29,57,1,2,3832,1,3,9,46,7,9
2,47,93,1,1,6293,2,10,9,46,11,8
2,69,137,1,1,9266,3,14,13,46,15,17
2,80,160,2,1,10850,2,27,3,46,18,1
1,11,22,2,2,1456,2,9,4,47,2,7
1,14,27,1,2,1797,1,3,3,47,3,9
1,19,37,1,1,2463,2,4,6,47,4,2
1,20,40,2,1,2699,1,9,7,47,5,4
1,28,55,1,1,3732,1,6,2,47,7,3
1,33,65,1,2,4364,4,7,10,47,8,6
1,34,67,1,1,4495,4,7,10,47,9,8
2,57,114,2,2,7717,6,7,12,47,14,6
2,61,121,1,1,8173,3,18,6,47,16,4
2,62,123,1,1,8350,5,19,2,47,17,3
2,65,129,1,1,8721,3,19,2,47,18,1
2,75,149,1,2,10101,3,24,3,47,19,10
2,83,166,2,1,11274,3,20,2,47,21,1
1,6,11,1,1,756,1,1,3,48,3,21
1,20,40,2,1,2587,1,9,7,48,6,8
1,33,65,1,1,4390,4,7,10,48,11,25
2,53,105,1,2,7124,6,14,6,48,13,13
2,63,125,1,2,8453,2,19,2,48,15,14
2,66,132,2,2,8946,3,21,6,48,16,1
2,67,134,2,2,9073,3,21,6,48,17,9
2,79,157,1,1,10677,2,26,2,48,20,1
1,8,15,1,2,1027,2,2,1,49,2,13
1,11,22,2,1,1470,2,9,4,49,3,11
1,18,35,1,1,2339,2,4,6,49,4,6
1,19,37,1,1,2460,2,4,6,49,5,7
1,27,53,1,2,3585,4,6,2,49,6,3
1,28,56,2,1,3777,1,6,2,49,7,4
1,32,64,2,1,4305,2,7,10,49,8,6
1,37,73,1,2,4925,4,8,8,49,10,4
1,42,83,1,2,5634,4,20,2,49,11,2
2,48,95,1,2,6394,6,10,9,49,13,5
2,49,98,2,1,6614,6,12,6,49,14,13
2,68,135,1,1,9120,3,22,5,49,16,8
2,69,137,1,2,9267,3,14,13,49,17,10
2,73,145,1,2,9849,3,23,8,49,19,2
2,84,167,1,1,11311,3,20,2,49,21,11
1,11,21,1,2,1373,2,9,4,50,2,11
1,16,31,1,2,2090,2,3,3,50,3,2
1,20,40,2,2,2704,1,9,7,50,4,6
1,24,47,1,1,3172,3,5,8,50,6,5
1,28,56,2,1,3757,1,6,2,50,8,11
2,46,91,1,1,6173,2,5,9,50,11,24
2,59,118,2,1,7988,5,5,9,50,15,3
2,60,119,1,2,8063,5,18,6,50,16,11
2,75,150,2,1,10157,3,24,3,50,20,1
1,2,4,2,1,250,1,1,1,52,1,9
1,11,21,1,1,1402,2,9,4,52,3,10
1,41,81,1,1,5454,4,3,9,52,10,10
2,55,109,1,2,7350,6,15,5,52,14,14
1,16,32,2,2,2137,2,3,3,53,5,17
1,21,42,2,1,2804,1,9,7,53,7,4
1,40,80,2,1,5404,4,9,5,53,11,9
2,83,165,1,2,11216,3,20,2,53,21,16
1,1,1,1,1,62,1,1,1,54,1,6
1,12,24,2,1,1589,1,3,5,54,6,8
1,18,36,2,2,2398,2,4,6,54,8,4
1,42,83,1,1,5599,4,20,2,54,11,11
2,46,91,1,2,6130,2,5,9,54,13,6
2,55,109,1,2,7362,6,15,5,54,14,6
2,71,141,1,1,9590,3,22,3,54,15,10
2,72,144,2,1,9744,3,23,8,54,16,7
2,79,157,1,1,10647,2,26,2,54,18,3
2,81,161,1,1,10905,3,27,3,54,19,9
2,82,164,2,2,11147,3,27,3,54,20,4
1,2,4,2,1,225,1,1,1,55,2,5
1,4,7,1,1,420,1,20,2,55,3,1
1,25,50,2,2,3380,4,3,9,55,5,6
1,28,55,1,1,3677,1,6,2,55,6,6
1,35,69,1,1,4673,4,7,10,55,9,5
1,42,83,1,2,5606,4,20,2,55,10,13
2,58,116,2,1,7852,5,17,6,55,13,2
2,69,138,2,2,9341,3,14,13,55,17,2
2,72,144,2,2,9740,3,23,8,55,18,11
1,10,20,2,1,1322,1,2,3,56,4,2
1,24,48,2,2,3235,3,5,8,56,7,3
2,62,123,1,2,8343,5,19,2,56,17,17
2,77,154,2,1,10418,2,24,3,56,20,2
2,81,161,1,1,10907,3,27,3,56,21,13
1,25,49,1,1,3307,4,3,9,57,8,13
1,34,67,1,2,4540,4,7,10,57,10,14
1,18,35,1,1,2349,2,4,6,58,4,2
2,47,93,1,2,6325,2,10,9,58,11,29
2,57,114,2,2,7697,6,7,12,58,13,15
2,81,161,1,2,10926,3,27,3,58,20,18
1,12,23,1,1,1525,1,3,5,59,4,5
1,13,25,1,1,1696,2,3,5,59,5,9
1,25,49,1,2,3314,4,3,9,59,8,2
1,40,79,1,1,5311,4,9,5,59,10,10
2,74,147,1,1,9951,3,24,5,59,19,3
1,9,18,2,1,1173,1,2,3,60,2,3
1,20,39,1,1,2596,1,9,7,60,6,9
1,29,57,1,1,3835,1,3,9,60,7,6
1,38,75,1,1,5041,4,8,8,60,8,10
1,42,84,2,2,5659,4,20,2,60,10,9
2,80,160,2,1,10827,2,27,3,60,18,1
2,81,161,1,1,10939,3,27,3,60,19,3
2,82,164,2,1,11103,3,27,3,60,20,4
1,15,30,2,2,1990,1,3,3,61,1,2
1,17,34,2,1,2279,1,9,4,61,2,12
1,21,41,1,1,2789,1,9,7,61,3,2
1,22,44,2,1,2970,1,5,8,61,4,4
1,25,49,1,2,3277,4,3,9,61,6,7
1,31,61,1,1,4143,4,3,9,61,7,10
1,38,76,2,1,5165,4,8,8,61,9,2
2,45,90,2,1,6095,2,5,9,61,11,9
2,46,91,1,2,6181,2,5,9,61,12,9
2,56,111,1,1,7508,6,16,6,61,16,20
2,81,161,1,1,10954,3,27,3,61,21,5
1,10,19,1,1,1266,1,2,3,62,2,16
1,21,42,2,1,2784,1,9,7,62,5,7
2,43,85,1,1,5733,4,10,2,62,11,26
2,52,104,2,1,7025,6,13,6,62,13,2
2,55,109,1,1,7374,6,15,5,62,14,19
2,61,122,2,2,8240,3,18,6,62,15,5
2,66,131,1,1,8897,3,21,6,62,17,7
2,72,143,1,2,9701,3,23,8,62,19,15
1,10,19,1,2,1237,1,2,3,63,1,11
1,12,23,1,1,1535,1,3,5,63,2,12
1,29,57,1,2,3871,1,3,9,63,6,11
1,32,64,2,2,4346,2,7,10,63,7,10
1,37,74,2,1,5009,4,8,8,63,9,4
1,7,14,2,1,894,1,2,1,64,2,1
1,16,31,1,1,2110,2,3,3,64,3,9
1,17,33,1,1,2244,1,9,4,64,4,9
1,32,63,1,2,4219,2,7,10,64,7,3
1,34,67,1,1,4530,4,7,10,64,9,10
2,50,99,1,2,6678,6,12,6,64,12,5
2,61,121,1,2,8185,3,18,6,64,17,6
2,72,143,1,1,9690,3,23,8,64,20,2
1,7,13,1,2,866,1,2,1,66,2,7
1,12,23,1,1,1572,1,3,5,66,3,5
1,18,35,1,1,2367,2,4,6,66,4,4
1,24,48,2,1,3206,3,5,8,66,6,5
1,25,50,2,2,3349,4,3,9,66,7,8
1,37,74,2,2,5013,4,8,8,66,10,9
1,42,84,2,2,5681,4,20,2,66,11,5
2,44,87,1,1,5884,4,10,2,66,12,8
2,47,93,1,1,6275,2,10,9,66,13,12
2,54,107,1,1,7217,6,14,6,66,14,7
2,69,138,2,1,9348,3,14,13,66,17,4
2,84,167,1,1,11322,3,20,2,66,21,9
1,2,3,1,2,158,1,1,1,67,1,8
1,6,11,1,2,721,1,1,3,67,3,9
1,12,24,2,2,1618,1,3,5,67,5,5
1,15,30,2,2,1983,1,3,3,67,6,8
1,24,48,2,1,3181,3,5,8,67,8,14
2,58,116,2,1,7878,5,17,6,67,12,7
2,62,124,2,2,8393,5,19,2,67,14,4
2,63,126,2,1,8552,2,19,2,67,15,7
2,69,137,1,1,9300,3,14,13,67,17,11
2,78,156,2,2,10506,2,26,2,67,20,2
2,82,164,2,1,11144,3,27,3,67,21,4
1,5,9,1,2,594,1,1,3,68,1,7
1,6,11,1,1,707,1,1,3,68,2,8
1,9,17,1,1,1136,1,2,3,68,3,8
1,14,27,1,2,1839,1,3,3,68,4,5
1,21,42,2,2,2843,1,9,7,68,5,6
1,26,51,1,2,3430,5,6,2,68,8,11
2,45,90,2,1,6115,2,5,9,68,11,7
2,50,99,1,1,6737,6,12,6,68,13,23
2,61,121,1,1,8169,3,18,6,68,14,5
2,65,130,2,2,8803,3,19,2,68,15,5
2,66,131,1,1,8883,3,21,6,68,16,15
2,79,158,2,2,10730,2,26,2,68,20,2
1,1,1,1,2,17,1,1,1,69,1,12
1,5,9,1,2,582,1,1,3,69,2,7
1,40,80,2,1,5431,4,9,5,69,10,20
2,54,108,2,1,7332,6,14,6,69,13,12
2,70,140,2,1,9467,3,22,3,69,18,3
2,79,158,2,2,10703,2,26,2,69,21,9
1,8,16,2,2,1061,2,2,1,70,2,9
1,9,18,2,2,1165,1,2,3,70,3,8
1,14,28,2,2,1890,1,3,3,70,4,8
1,21,42,2,2,2797,1,9,7,70,6,8
1,40,79,1,2,5336,4,9,5,70,10,22
2,44,88,2,2,5936,4,10,2,70,12,25
2,48,95,1,2,6405,6,10,9,70,13,26
2,56,111,1,1,7517,6,16,6,70,15,27
2,59,118,2,1,7999,5,5,9,70,16,4
2,63,126,2,1,8561,2,19,2,70,17,12
2,64,128,2,1,8680,3,19,2,70,18,2
2,65,129,1,1,8733,3,19,2,70,19,27
2,74,147,1,1,10004,3,24,5,70,20,12
2,79,158,2,1,10744,2,26,2,70,21,2
1,6,11,1,2,719,1,1,3,71,1,6
1,11,21,1,1,1379,2,9,4,71,3,19
1,12,23,1,2,1509,1,3,5,71,4,7
1,17,33,1,1,2182,1,9,4,71,5,18
1,18,36,2,1,2407,2,4,6,71,6,12
1,29,58,2,1,3896,1,3,9,71,8,13
1,31,61,1,2,4102,4,3,9,71,10,27
2,46,92,2,1,6240,2,5,9,71,12,22
2,60,120,2,1,8110,5,18,6,71,16,10
2,69,138,2,1,9347,3,14,13,71,17,7
2,77,153,1,2,10357,2,24,3,71,18,10
2,81,161,1,2,10904,3,27,3,71,19,16
2,83,165,1,1,11196,3,20,2,71,21,14
1,14,28,2,1,1893,1,3,3,72,1,13
1,15,30,2,2,2000,1,3,3,72,2,7
1,18,35,1,2,2387,2,4,6,72,3,45
1,26,51,1,1,3428,5,6,2,72,6,13
1,27,53,1,2,3550,4,6,2,72,7,24
1,40,80,2,2,5423,4,9,5,72,10,9
2,46,92,2,1,6232,2,5,9,72,13,15
2,63,125,1,1,8493,2,19,2,72,17,14
2,77,153,1,1,10373,2,24,3,72,20,14
2,79,157,1,1,10678,2,26,2,72,21,15
1,36,72,2,1,20010,4,8,8,72,30,24
1,13,26,2,2,1751,2,3,5,73,2,3
1,17,34,2,2,2258,1,9,4,73,4,4
2,44,87,1,2,5893,4,10,2,73,12,9
2,49,97,1,1,6563,6,12,6,73,14,5
2,78,155,1,2,10517,2,26,2,73,20,8
1,4,7,1,2,450,1,20,2,74,1,3
1,14,28,2,1,1872,1,3,3,74,5,2
1,35,69,1,2,4675,4,7,10,74,9,9
1,42,83,1,1,5637,4,20,2,74,11,3
2,43,85,1,1,5738,4,10,2,74,12,12
2,76,151,1,2,10207,3,24,3,74,19,4
1,4,7,1,1,446,1,20,2,75,1,2
1,5,9,1,1,570,1,1,3,75,2,16
1,7,13,1,2,876,1,2,1,75,4,3
1,17,33,1,1,2237,1,9,4,75,8,7
2,53,106,2,1,7191,6,14,6,75,13,7
2,71,141,1,2,9574,3,22,3,75,19,3
1,36,72,2,1,20013,4,8,8,75,30,10
1,2,3,1,2,193,1,1,1,76,1,9
1,5,9,1,2,592,1,1,3,76,2,3
1,10,20,2,1,1328,1,2,3,76,3,2
1,14,27,1,1,1809,1,3,3,76,4,7
1,15,29,1,2,1973,1,3,3,76,5,6
1,19,38,2,1,2572,2,4,6,76,6,4
1,31,61,1,1,4132,4,3,9,76,8,12
2,47,93,1,2,6305,2,10,9,76,13,14
1,5,10,2,1,628,1,1,3,77,2,6
1,11,21,1,2,1366,2,9,4,77,5,12
1,29,58,2,1,3943,1,3,9,77,8,6
1,41,81,1,1,5470,4,3,9,77,11,11
2,75,150,2,1,10169,3,24,3,77,20,6
1,17,33,1,1,2243,1,9,4,78,4,2
2,78,155,1,2,10488,2,26,2,78,20,16
1,12,23,1,2,1532,1,3,5,79,3,15
2,52,103,1,1,6998,6,13,6,79,12,15
2,68,136,2,2,9205,3,22,5,79,19,4
1,2,4,2,2,262,1,1,1,80,1,7
1,25,49,1,2,3327,4,3,9,80,4,5
1,29,58,2,1,3889,1,3,9,80,5,5
1,32,64,2,2,4341,2,7,10,80,6,13
1,34,68,2,2,4566,4,7,10,80,7,10
1,38,76,2,2,5112,4,8,8,80,9,6
1,39,78,2,1,5198,4,8,11,80,10,7
1,40,80,2,2,5401,4,9,5,80,11,3
2,55,110,2,2,7412,6,15,5,80,12,10
2,56,111,1,1,7514,6,16,6,80,13,13
2,61,122,2,2,8270,3,18,6,80,15,6
2,66,131,1,1,8873,3,21,6,80,17,3
1,9,17,1,1,1130,1,2,3,81,3,7
1,22,43,1,2,2916,1,5,8,81,6,9
1,30,60,2,2,4046,5,7,5,81,7,12
1,41,82,2,1,5551,4,3,9,81,11,6
2,53,105,1,1,7079,6,14,6,81,14,8
2,59,117,1,1,7951,5,5,9,81,15,4
2,83,166,2,2,11259,3,20,2,81,20,1
1,2,3,1,1,152,1,1,1,82,1,2
1,17,33,1,1,2191,1,9,4,82,4,5
1,22,44,2,1,2945,1,5,8,82,5,3
1,37,73,1,1,4919,4,8,8,82,9,3
1,42,83,1,2,5643,4,20,2,82,10,15
2,43,85,1,1,5751,4,10,2,82,11,8
2,54,108,2,1,7310,6,14,6,82,14,8
2,72,143,1,2,9699,3,23,8,82,17,5
2,79,157,1,2,10610,2,26,2,82,19,5
2,81,161,1,1,10932,3,27,3,82,20,8
1,1,1,1,2,10,1,1,1,83,1,4
1,7,14,2,2,930,1,2,1,83,2,1
1,11,22,2,2,1457,2,9,4,83,4,11
2,43,86,2,2,5839,4,10,2,83,12,12
2,44,88,2,1,5973,4,10,2,83,13,9
2,58,115,1,1,7756,5,17,6,83,17,5
2,65,129,1,1,8706,3,19,2,83,18,6
2,66,132,2,2,8847,3,21,6,83,19,10
2,82,164,2,1,11122,3,27,3,83,21,4
1,4,7,1,1,436,1,20,2,84,2,1
1,22,44,2,1,2960,1,5,8,84,6,2
1,29,58,2,1,3937,1,3,9,84,8,6
2,45,89,1,1,6047,2,5,9,84,13,1
2,54,108,2,1,7329,6,14,6,84,17,7
2,76,151,1,1,10269,3,24,3,84,20,5
1,9,17,1,2,1119,1,2,3,85,1,7
1,23,45,1,1,3052,1,5,8,85,4,6
1,25,50,2,1,3388,4,3,9,85,5,4
1,26,52,2,2,3489,5,6,2,85,6,10
2,47,94,2,2,6339,2,10,9,85,12,14
2,55,109,1,2,7393,6,15,5,85,15,10
2,73,146,2,1,9818,3,23,8,85,19,5
2,83,165,1,2,11162,3,20,2,85,21,5
1,15,29,1,1,1974,1,3,3,86,2,13
1,23,46,2,1,3115,1,5,8,86,5,6
1,25,50,2,1,3352,4,3,9,86,6,10
1,37,73,1,1,4945,4,8,8,86,10,18
2,70,139,1,1,9450,3,22,3,86,19,4
1,24,47,1,1,3178,3,5,8,87,5,2
2,45,90,2,1,6079,2,5,9,87,11,7
2,58,116,2,1,7830,5,17,6,87,13,10
2,65,129,1,1,8772,3,19,2,87,17,6
